id,adj_p_value,p_value,t,b,logfc,gene_symbol,gene_title
218692_at,0.0043,1.93e-07,9.515988,7.190784,1.8943593,SYBU,syntabulin
211465_x_at,0.00641,9.18e-07,-8.345812,5.85724,-1.0402888,FUT6,fucosyltransferase 6
217724_at,0.00641,1.5e-06,8.001034,5.428612,1.721919,SERBP1,SERPINE1 mRNA binding protein 1
201145_at,0.00641,1.54e-06,7.981476,5.403784,0.9596948,HAX1,HCLS1 associated protein X-1
207098_s_at,0.00641,1.72e-06,7.903182,5.30383,1.9506498,MFN1,mitofusin 1
200597_at,0.00681,2.14e-06,7.755544,5.112888,1.1129743,EIF3A,eukaryotic translation initiation factor 3 subunit A
216241_s_at,0.00786,3.42e-06,7.440751,4.694854,1.9270143,TCEA1,transcription elongation factor A1
201894_s_at,0.00786,4.17e-06,7.310069,4.516876,1.8160264,SSR1,signal sequence receptor subunit 1
220012_at,0.00786,4.4e-06,7.274501,4.467979,2.5387869,ERO1B,endoplasmic reticulum oxidoreductase 1 beta
202169_s_at,0.00786,4.96e-06,7.196022,4.359396,1.9781255,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
208773_s_at,0.00786,5.01e-06,7.189826,4.350783,1.6691943,ANKHD1-EIF4EBP3///ANKHD1,ANKHD1-EIF4EBP3 readthrough///ankyrin repeat and KH domain containing 1
203376_at,0.00786,5.23e-06,7.161985,4.312005,1.3911026,CDC40,cell division cycle 40
201923_at,0.00786,5.53e-06,7.125515,4.261025,1.9275031,PRDX4,peroxiredoxin 4
210027_s_at,0.00786,5.64e-06,7.113271,4.243863,1.3900564,APEX1,apurinic/apyrimidinic endodeoxyribonuclease 1
203405_at,0.0095,8.1e-06,6.882534,3.91603,1.4279683,PSMG1,proteasome assembly chaperone 1
207062_at,0.0095,8.43e-06,6.856671,3.878758,3.5468707,IAPP,islet amyloid polypeptide
200883_at,0.0095,8.85e-06,6.826562,3.835234,2.386011,UQCRC2,ubiquinol-cytochrome c reductase core protein II
211666_x_at,0.0095,9.85e-06,6.758931,3.736943,1.7526948,SNORD83B///SNORD139///RPL3,"small nucleolar RNA, C/D box 83B///small nucleolar RNA, C/D box 139///ribosomal protein L3"
208801_at,0.0095,1.04e-05,6.728155,3.691972,1.5696838,SRP72,signal recognition particle 72
220642_x_at,0.0095,1.04e-05,6.72621,3.689125,1.2702033,GPR89A///GPR89B,G protein-coupled receptor 89A///G protein-coupled receptor 89B
208631_s_at,0.0095,1.08e-05,6.700779,3.651844,1.350409,HADHA,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit"
217927_at,0.0095,1.11e-05,6.684277,3.627596,1.8078352,SPCS1,signal peptidase complex subunit 1
206958_s_at,0.0095,1.13e-05,6.674054,3.612553,2.1339217,UPF3A,UPF3 regulator of nonsense transcripts homolog A (yeast)
215416_s_at,0.0095,1.18e-05,6.648801,3.575321,1.2368755,STOML2,stomatin like 2
208638_at,0.0095,1.18e-05,6.646564,3.572019,2.1608912,PDIA6,protein disulfide isomerase family A member 6
213384_x_at,0.0095,1.22e-05,-6.625235,3.540484,-0.730056,PLCB3,phospholipase C beta 3
202178_at,0.0095,1.24e-05,-6.617804,3.529482,-0.8144905,PRKCZ,protein kinase C zeta
204744_s_at,0.00967,1.33e-05,6.571837,3.461218,1.8344993,IARS,isoleucyl-tRNA synthetase
209311_at,0.00967,1.39e-05,6.546325,3.423185,1.5055424,BCL2L2,BCL2 like 2
213465_s_at,0.00981,1.45e-05,6.518611,3.381751,1.5850731,PPP1R7,protein phosphatase 1 regulatory subunit 7
201963_at,0.00998,1.54e-05,6.484249,3.330207,2.322914,ACSL1,acyl-CoA synthetase long-chain family member 1
211985_s_at,0.00998,1.57e-05,6.471995,3.311778,3.2047214,CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1
209870_s_at,0.0103,1.76e-05,-6.401018,3.204567,-0.8811619,APBA2,amyloid beta precursor protein binding family A member 2
202413_s_at,0.0103,1.81e-05,6.383037,3.177277,2.0758779,USP1,ubiquitin specific peptidase 1
201078_at,0.0103,1.86e-05,6.367305,3.153357,1.9671307,TM9SF2,transmembrane 9 superfamily member 2
221253_s_at,0.0103,1.87e-05,6.365806,3.151076,1.137136,BLOC1S5-TXNDC5///TXNDC5,BLOC1S5-TXNDC5 readthrough (NMD candidate)///thioredoxin domain containing 5
214323_s_at,0.0103,1.89e-05,6.357993,3.13918,2.3366305,UPF3A,UPF3 regulator of nonsense transcripts homolog A (yeast)
